凉帽山,上李朗,10
上李朗,木古,10
木古,华南城,10
华南城,禾花,10
禾花,平湖,10
平湖,双拥街,10
岗厦北,福田,11
福田,车公庙,11
车公庙,红树湾南,11
红树湾南,后海,11
后海,南山,11
南山,前海湾,11
前海湾,宝安,11
宝安,碧海湾,11
碧海湾,机场,11
机场,机场北,11
机场北,福永,11
福永,桥头,11
桥头,塘尾,11
塘尾,马安山,11
马安山,沙井,11
沙井,后亭,11
后亭,松岗,11
松岗,碧头,11
左炮台东,太子湾,12
太子湾,海上世界,12
海上世界,花果山,12
花果山,四海,12
四海,南油,12
南油,南光,12
南光,南山,12
南山,桃园,12
桃园,南头古城,12
南头古城,中山公园,12
中山公园,同乐南,12
同乐南,新安公园,12
新安公园,灵芝,12
灵芝,上川,12
上川,流塘,12
流塘,宝安客运站,12
宝安客运站,宝田一路,12
宝田一路,平峦山,12
平峦山,西乡桃源,12
西乡桃源,钟屋南,12
钟屋南,黄田,12
黄田,兴围,12
兴围,机场东,12
机场东,福围,12
福围,怀德,12
怀德,福永,12
福永,桥头西,12
桥头西,福海西,12
福海西,国展,12
国展,国展北,12
国展北,海上田园南站,12
海上田园南站,海上田园东,12
光明,圳美,6
圳美,中大,6
中大,深理工,6
大运,大运中心,16
大运中心,龙城公园,16
龙城公园,黄阁坑,16
黄阁坑,愉园,16
愉园,回龙埔,16
回龙埔,尚景,16
尚景,盛平,16
盛平,龙园,16
龙园,双龙,16
双龙,新塘围,16
新塘围,龙东,16
龙东,宝龙同乐,16
宝龙同乐,坪山,16
坪山,新和,16
新和,六和,16
六和,坪山围,16
坪山围,坪环,16
坪环,东纵纪念馆,16
东纵纪念馆,沙壆,16
沙壆,燕子湖,16
燕子湖,石井,16
石井,技术大学,16
技术大学,田心,16
机场北,国展南,20
国展南,国展,20
国展,国展北,20
国展北,会展城,20
